"cell_type","percent_high_expression","percent_medium_expression","percent_low_expression","percent_not_detected","number_of_proteins","tested_proteins","detected_proteins","staining_score","p_val","p_val_adj"
"APPENDIX - lymphoid tissue",0,0,0.03,0.94,32,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT4",0.75,"0.398","1.000"
"CEREBELLUM - cells in granular layer",0,0,0.03,0.94,32,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2",0.75,"0.393","1.000"
"CEREBRAL CORTEX - endothelial cells",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT2",0.75,"0.653","1.000"
"CEREBRAL CORTEX - neuropil",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2",0.75,"0.102","1.000"
"CERVIX, UTERINE - squamous epithelial cells",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT2",0.75,"0.655","1.000"
"ESOPHAGUS - squamous epithelial cells",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT2",0.75,"0.632","1.000"
"LUNG - pneumocytes",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT2",0.75,"1.000","1.000"
"LYMPH NODE - germinal center cells",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","MS4A8",0.75,"0.417","1.000"
"ORAL MUCOSA - squamous epithelial cells",0,0,0.03,0.91,31,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT2",0.75,"0.643","1.000"
"OVARY - follicle cells",0,0,0.03,0.73,25,"ADGB, ARMC3, BPIFB1, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MUC16, RSPH1, SCGB1A1, SNTN, STMND1, STOML3, TEKT1, TEKT4, VWA3B, ZBBX","STMND1",0.75,"1.000","1.000"
"PARATHYROID GLAND - glandular cells",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2",0.75,"1.000","1.000"
"SKIN - keratinocytes",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT2",0.75,"0.629","1.000"
"SKIN - melanocytes",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT2",0.75,"1.000","1.000"
"SOFT TISSUE - fibroblasts",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","MS4A8",0.75,"1.000","1.000"
"SPLEEN - cells in white pulp",0,0,0.03,0.94,32,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, VWA3B, ZBBX","ERN2",0.75,"0.630","1.000"
"VAGINA - squamous epithelial cells",0,0,0.03,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT2",0.75,"0.620","1.000"
"ADIPOSE TISSUE - adipocytes",0,0,0,1,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX",NA,0,"1.000","1.000"
"BREAST - adipocytes",0,0,0,1,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX",NA,0,"1.000","1.000"
"CEREBELLUM - cells in molecular layer",0,0,0,1,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX",NA,0,"0.425","1.000"
"LIVER - bile duct cells",0,0,0,1,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX",NA,0,"1.000","1.000"
"SKIN - fibroblasts",0,0,0,1,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX",NA,0,"1.000","1.000"
"SKIN - Langerhans",0,0,0,1,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX",NA,0,"1.000","1.000"
"SOFT TISSUE - chondrocytes",0,0,0,0.91,23,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAI1, DYDC2, EFCAB1, FAM183A, GSTA1, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, TEKT1, TEKT2, TEKT4, ZBBX",NA,0,"1.000","1.000"
"SOFT TISSUE - peripheral nerve",0,0,0,1,29,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, VWA3B, ZBBX",NA,0,"0.678","1.000"
"TESTIS - cells in seminiferous ducts",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"TESTIS - Leydig cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"N/A - N/A",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"HYPOTHALAMUS - glial cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"HYPOTHALAMUS - neuronal cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"HYPOTHALAMUS - neuronal projections",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"HYPOTHALAMUS - synapses",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"TESTIS - elongated or late spermatids",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"TESTIS - pachytene spermatocytes",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"TESTIS - peritubular cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"TESTIS - preleptotene spermatocytes",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"TESTIS - round or early spermatids",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"TESTIS - sertoli cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"TESTIS - spermatogonia cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"HAIR - cells in cortex/medulla",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"HAIR - cells in cuticle",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"HAIR - cells in external root sheath",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"HAIR - cells in internal root sheath",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"CAUDATE - neuronal projections",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"CAUDATE - synapses",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"CEREBRAL CORTEX - neuronal projections",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"CEREBRAL CORTEX - synapses",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"RETINA - cells in inner nuclear layer ",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"RETINA - cells in photoreceptor layer ",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"RETINA - ganglion cells ",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"RETINA - limiting membrane",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"RETINA - nerve fibers in inner plexiform layer",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"RETINA - nerve fibers in nerve fiber layer",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"RETINA - nerve fibers in outer plexiform layer ",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"RETINA - pigment epithelium",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"LACTATING BREAST - lactating glandular cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"ADRENAL GLAND - cells in zona fasciculata",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"ADRENAL GLAND - cells in zona glomerulosa",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"ADRENAL GLAND - cells in zona reticularis",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"ADRENAL GLAND - medullary cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"SKIN - sebaceous cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"SKIN - secretory cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"SKIN - sweat ducts",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"CARTILAGE - chondrocytes",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"EYE - corneal epithelial cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"EYE - hyaloid membrane",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"EYE - lens epithelial cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"EYE - lens fiber cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"THYMUS - cortical cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"THYMUS - medullary cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"HIPPOCAMPUS - neuronal projections",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"HIPPOCAMPUS - synapses",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"PITUITARY GLAND - cells in anterior ",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"PITUITARY GLAND - cells in posterior ",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"DORSAL RAPHE - glial cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"DORSAL RAPHE - neuronal cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"DORSAL RAPHE - neuronal projections",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"DORSAL RAPHE - synapses",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"LACTATING BREAST - ductal cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"CHOROID PLEXUS - ependymal cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"CEREBELLUM - cells in dentate nucleus",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"CEREBELLUM - glial cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"CEREBELLUM - neuronal projections",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"CEREBELLUM - synapses",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"SUBSTANTIA NIGRA - glial cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"SUBSTANTIA NIGRA - neuronal cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"SUBSTANTIA NIGRA - neuronal projections",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"SUBSTANTIA NIGRA - synapses",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
"SOLE OF FOOT - epidermal cells",NA,NA,NA,NA,0,"",NA,NA,"NA","NA"
